Source Table,Source Column,Target Table,Target Column,Source Col ID,Target Col ID,Source Desc Update,Target Desc Update,Lineage Response
VSAM_Customer_Data.csv,FULL_NAME,DB2_Customer_Data.csv,FULL_NAME,30336,30325.0,"{'status': 'success', 'id': 30336}","{'status': 'success', 'id': 30325}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,DOB,DB2_Customer_Data.csv,DATE_OF_BIRTH,30337,30326.0,"{'status': 'success', 'id': 30337}","{'status': 'success', 'id': 30326}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,GENDER,DB2_Customer_Data.csv,GENDER,30338,30327.0,"{'status': 'success', 'id': 30338}","{'status': 'success', 'id': 30327}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,ADDRESS,DB2_Customer_Data.csv,ADDRESS,30339,30328.0,"{'status': 'success', 'id': 30339}","{'status': 'success', 'id': 30328}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,PHONE,DB2_Customer_Data.csv,PHONE_NUMBER,30340,,⚠️ Not found,⚠️ Not found,⚠️ Skipped
VSAM_Customer_Data.csv,EMAIL,DB2_Customer_Data.csv,EMAIL_ADDRESS,30341,30330.0,"{'status': 'success', 'id': 30341}","{'status': 'success', 'id': 30330}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,NATID,DB2_Customer_Data.csv,NATID,30342,30331.0,"{'status': 'success', 'id': 30342}","{'status': 'success', 'id': 30331}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,OCCUPATION,DB2_Customer_Data.csv,OCCUPATION,30343,30332.0,"{'status': 'success', 'id': 30343}","{'status': 'success', 'id': 30332}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,CUSTTYPE,DB2_Customer_Data.csv,CUSTOMER_TYPE,30344,30333.0,"{'status': 'success', 'id': 30344}","{'status': 'success', 'id': 30333}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,ACCNUMS,DB2_Customer_Data.csv,ACCOUNT_NUMBERS,30345,30334.0,"{'status': 'success', 'id': 30345}","{'status': 'success', 'id': 30334}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
VSAM_Customer_Data.csv,DOB,DB2_Customer_Data.csv,AGE,30337,30335.0,"{'status': 'success', 'id': 30337}","{'status': 'success', 'id': 30335}","{'error': '{""detail"":""A manual lineage connection already exists between these assets.""}'}"
